setup, instances, average start-up time, start-up time std dev, average queue time, scheduling latency
base, 1, 0.0128914, 0.004272471444023939, 0.0, 0.0141455
base, 5, 0.012677240000000001, 0.0050325416900806694, 0.0035934166666666666, 0.009125041666666667
base, 10, 0.014492760000000002, 0.006191718939228427, 0.006691367346938775, 0.007910510204081634
base, 25, 0.033496416, 0.014110642334456075, 0.026540588709677432, 0.0070401612903225825
base, 50, 0.03054113600000001, 0.01654107692568728, 0.013436208835341364, 0.017173357429718882
base, 100, 0.03327855000000002, 0.016232512298824855, 0.008867126252505011, 0.024433064128256535
default_custom, 1, 0.0137464, 0.005535660452014737, 0.0, 0.014360749999999999
default_custom, 5, 0.00883068, 0.003083136983268826, 0.0011312083333333332, 0.007575249999999999
default_custom, 10, 0.01443526, 0.006468538489674464, 0.006965040816326532, 0.0076076938775510175
default_custom, 25, 0.031102640000000008, 0.01450937380448929, 0.024359137096774182, 0.0068967661290322575
default_custom, 50, 0.029583804000000016, 0.016643807555411835, 0.01524401606425703, 0.014406200803212858
default_custom, 100, 0.031210530000000004, 0.01481101982690929, 0.007612396793587174, 0.023645106212424837
ext_custom, 1, 0.09417679999999999, 0.1607785326943868, 0.0, 0.01379275
ext_custom, 5, 0.02935456, 0.014825909359172542, 0.011682291666666669, 0.018261125
ext_custom, 10, 0.0716264, 0.04483832275676689, 0.05263351020408162, 0.020238326530612246
ext_custom, 25, 0.23420807200000002, 0.16195439544988838, 0.20922954032258062, 0.026758895161290323
ext_custom, 50, 0.4329443280000002, 0.22721164460587936, 0.39546712048192817, 0.03917451004016062
ext_custom, 100, 0.6836234480000001, 0.3156289559815438, 0.6373650661322644, 0.047598507014028076
